Species,Species_Full_Name,Native_Status,Growth_Form,Bloom_Start,Bloom_End,Dominant_Zone,Max_Height,Familiy,Growth_Habit,Wetland_Obligate,Disturbance_Favored
ALSA,Alopecurus saccatus,N,A,3,5,,,Poaceae,graminoid,Y,N
ALTR,Alisma triviale,N,P,7,11,C,,Alismataceae,forb,Y,N
ANNU,Antirrhinum nuttallianum,E,AP,5,7,,,Plantaginaceae,forb,N,N
ASFA,Asclepias fascicularis ,N,P,4,7,,,Apocynaceae,forb,N,N
BOMA,Bolboschoenus maritimus,N,P,8,9,C,,Cyperaceae,graminoid,Y,N
BRACHDI,Brachypodium distachyon,E,AP,4,7,,40,Poaceae,graminoid,N,Y
BRDI,Bromus diandrus,E,A,4,6,U,120,Poaceae,graminoid,N,Y
BRHO,Bromus hordeaceus ,E,A,4,5,U,65,Poaceae,graminoid,N,Y
BRMA,Bromus madritensis,E,A,2,3,U,50,Poaceae,graminoid,N,Y
BRNI,Brassica nigra,E,A,4,7,,,Brassicaceae,forb,N,Y
CAPR,Carex praegracilis,N,P,5,6,C,,Cyperaceae,graminoid,N,N
CAPY,Carduus pycnocephalus,E,A,2,7,,,Asteraceae,forb,Y,Y
CEPA,Centromadia parryi ssp. australis ,N,A,5,11,U,,Asteraceae,forb,Y,N
CRSC,Crypsis schoenoides,E,A,6,10,,,Poaceae,graminoid,Y,Y
CRSE,Croton setigerus,N,A,5,10,,,Euphorbaceae,forb,N,N
CYER,Cyperus eragrostis,N,P,5,9,C,90,Poaceae,graminoid,Y,N
DEFA,Deinandra fasciculata,N,A,5,10,,,Asteraceae,forb,Y,N
DIMI,Dichondra micrantha,E,P,4,6,,,Convolvulaceae,forb,Y,N
DISP,Distichlis spicata,N,P,7,8,T,,Poaceae,graminoid,Y,N
ELGL,Elymus glaucus,N,P,5,7,U,,Poaceae,graminoid,Y,N
ELMA,Eleocharis machrostachya,N,P,5,6,C,100,Cyperaceae,graminoid,Y,N
